team,date,symbol,position_type,entry_price,quantity,cost,close_price,market_value,position_status,exit_date,open_profit,profit_percentage,net_value,invested
7773b,04/18/2016,AMGN,Long,$161.49,"2,000","$322,980",$163.17,"$326,340",Closed,04/20/2016,"$3,360.00",1.04%,"$1,028,565",$0.00
7773b,04/20/2016,NFLX,Short,$95.53,"10,000","$955,300",$96.76,"$967,600",Closed,04/20/2016,"-$12,300.00",-1.29%,"$1,016,265",$0.00
7773b,04/20/2016,BABA,LONG,$80.89,"1,000","$80,890",$79.42,"$79,420",Closed,04/22/2016,"-$1,470.00",-1.82%,"$1,014,795",$0.00
7773b,04/19/2016,IBM,Short,$145.54,"3,000","$436,620",$149.68,"$449,040",Closed,04/21/2016,"-$12,420.00",-2.84%,"$1,002,375",$0.00
7773b,04/20/2016,KO,Short,$44.69,"2,000","$89,380",$44.44,"$88,880",Closed,04/22/2016,$500.00,0.56%,"$1,002,875",$0.00
7773b,04/20/2016,NFLX,LONG,$96.72,"5,000","$483,580",$95.39,"$476,950",Closed,04/21/2016,"-$6,630.00",-1.37%,"$996,245",$0.00
7773b,04/20/2016,PLG,LONG,$3.77,"1,000","$3,770",$3.24,"$3,240",Closed,04/21/2016,-$530.00,-14.06%,"$995,715",$0.00
7773b,04/20/2016,XEC,LONG,$109.87,"6,000","$659,240",$107.96,"$647,760",Closed,04/21/2016,"-$11,479.98",-1.74%,"$984,235",$0.00
7773b,04/11/2016,TEVA,Short,$55.91,200,"$11,182",$54.96,"$10,992",Closed,04/15/2016,$190.00,1.70%,"$1,148,515",$0.00
7773b,04/11/2016,FB,Short,$108.99,100,"$10,899",$108.99,"$10,899",Closed,04/12/2016,$0.00,0.00%,"$1,191,223",$0.00
7773b,04/15/2016,AMZN,Long,$623.04,100,"$62,304",$630.19,"$63,019",Closed,04/18/2016,$715.00,1.15%,"$1,191,938",$0.00
7773b,04/18/2016 ,AAPL,Short,$108.88,"4,000","$435,520",$107.58,"$430,320",Closed,04/18/2016 ,"$5,200.00",1.19%,"$1,197,138",$0.00
7773b,04/18/2016,AAPL,Short,$107.44,"10,000","$1,074,400",$105.53,"$1,055,300",Closed,04/22/2016,"$19,100.00",1.78%,"$1,216,238",$0.00
7773b,04/18/2016,AMGN,Long,$161.49,"2,000","$322,980",$163.17,"$326,340",Closed,04/20/2016,"$3,360.00",1.04%,"$1,219,598",$0.00
7773b,04/20/2016,NFLX,Short,$95.53,"10,000","$955,300",$96.76,"$967,600",Closed,04/20/2016,"-$12,300.00",-1.29%,"$1,207,298",$0.00
7773b,04/20/2016,BABA,LONG,$80.89,"1,000","$80,890",$79.42,"$79,420",Closed,04/22/2016,"-$1,470.00",-1.82%,"$1,205,828",$0.00
7773b,04/19/2016,IBM,Short,$145.54,"3,000","$436,620",$149.68,"$449,040",Closed,04/21/2016,"-$12,420.00",-2.84%,"$1,193,408",$0.00
7773b,04/20/2016,KO,Short,$44.69,"2,000","$89,380",$44.44,"$88,880",Closed,04/22/2016,$500.00,0.56%,"$1,193,908",$0.00
7773b,04/20/2016,NFLX,LONG,$96.72,"5,000","$483,580",$95.39,"$476,950",Closed,04/21/2016,"-$6,630.00",-1.37%,"$1,187,278",$0.00
7773b,04/20/2016,PLG,LONG,$3.77,"1,000","$3,770",$3.24,"$3,240",Closed,04/21/2016,-$530.00,-14.06%,"$1,186,748",$0.00
7773b,04/20/2016,XEC,LONG,$109.87,"6,000","$659,240",$107.96,"$647,760",Closed,04/21/2016,"-$11,479.98",-1.74%,"$1,175,268",$0.00
xx,04/11/2016,AA,Long,$9.76,"6,000","$58,560",$10.08,"$60,480",Open,05/08/2016,"$1,920",3.28%,"$1,001,920","$60,480"
xx,04/11/2016,MNKD,Long,$1.52,"7,000","$10,640",$1.39,"$9,730",Closed,05/04/2016,-$910,-8.55%,"$1,001,010",$0
xx,04/11/2016,DSCO/WINT,Long,$3.04,"10,000","$30,400",$2.35,"$23,500",Closed,05/04/2016,"-$6,900",-22.70%,"$994,110",$0.00
xx,04/11/2016,DSCO,Long,$3.04,"10,000","$30,400",$3.74,"$37,400",Closed,4/18/2016,"$7,000",23.03%,"$1,001,110",$0.00
xx,4/18/2016,ABT,Long,$43.90,"20,000","$878,000",$38.16,"$763,200",Closed,05/04/2016,"-$114,800",-13.08%,"$886,310",$0.00
xx,4/20/2016,HNSN,Long,$4.04,"10,000","$40,400",$4.00,"$40,000",Closed,05/04/2016,-$400,-0.99%,"$885,910",$0.00
xx,4/20/2016,YHOO,Long,$38.09,"9,000","$342,810",$35.89,"$323,010",Closed,05/04/2016,"-$19,800",-5.78%,"$866,110",$0.00
xx,04/11/2016,AA,Long,$9.76,"6,000","$58,560",$10.97,"$65,820",Closed,4/27/2016,"$7,260.00",12.40%,"$873,370",$0.00
xx,05/04/2016,DOX,Long,$56.92,"10,000","$569,200",$57.42,"$574,200",Open,05/08/2016,"$5,000.00",0.88%,"$878,370","$574,200.00"
xx,05/04/2016,AAPL,Short,$93.99,"1,000","$93,990",$92.74,"$92,740",Open,05/08/2016,"$1,250.00",1.33%,"$879,620","$92,740.00"
xx,05/04/2016,WINT,Short,$2.30,"5,000","$11,500",$2.02,"$10,100",Open,05/08/2016,"$1,400.00",12.17%,"$881,020","$10,100.00"
xx,05/04/2016,ENDP,Short,$26.75,"10,000","$267,500",$17.40,"$174,000",Closed,05/06/2016,"$93,500.00",34.95%,"$974,520",$0.00
xx,05/04/2016,WINT,Short,$2.30,"5,000","$11,500",$2.09,"$10,450",Closed,05/06/2016,"$1,050.00",9.13%,"$975,570",$0.00
xx,05/06/2016,BABA,short,$79.02,20,"$1,580",78.99,"$1,580",open,05/06/2016,$0.56,0.04%,"1,000,002","$1,579.80"
xx,05/06/2016,AA,short,$10.24,30,$307,10.2,$306,CLOSED,05/06/2016,$1.20,0.39%,"999,999",$0.00
xx,05/06/2016,AA,short,$10.24,20,$205,10.2,$204,CLOSED,05/06/2016,$0.80,0.39%,"999,999",$0.00
xx,05/06/2016,X,Buy,$19.40,100,"$1,940",19.4,"$1,940",CLOSED,05/06/2016,$0.00,0.00%,"999,999",$0.00
xx,05/06/2016,AA,Buy,$10.20,50,$510,10.2,$510,CLOSED,05/06/2016,$0.00,0.00%,"1,000,002",$0.00
xx,05/06/2016,BABA,short,$79.02,30,"$2,371",78.96,"$2,369",CLOSED,05/06/2016,$1.74,0.07%,"999,999",$0.00
xx,05/06/2016,BABA,short,$79.01,20,"$1,580",78.99,"$1,580",CLOSED,05/06/2016,$0.40,0.03%,"999,999",$0.00
xx,05/06/2016,X,short,$19.42,50,$971,19.4,$970,CLOSED,05/06/2016,$1.00,0.10%,"1,000,001",$0.00
xx,05/06/2016,X,short,$19.45,20,$389,19.4,$388,CLOSED,05/06/2016,$1.00,0.26%,"999,999",$0.00
xx,05/06/2016,BABA,Buy,79.04,20,"$1,581",79.04,"$1,581",CLOSED,05/06/2016,$0.00,0.00%,"999,999",$0.00
xx,05/06/2016,BABA,short,79.02,20,"$1,580",79.04,"$1,581",CLOSED,05/06/2016,-$0.44,-0.03%,"999,999",$0.00
xx,05/06/2016,BABA,short,79.02,30,"$2,371",79.1,"$2,373",CLOSED,05/06/2016,-$2.46,-0.10%,"999,999",$0.00
xx74b,04/11/2016,SPY,Long,$204.98,"1,000","$204,980",$205.72,"$205,720",Open,,$740.00,0.36%,"$1,000,740",#REF!
xx74b,04/14/2016,JPM,Long,$62.57,"2,000","$125,140",$61.60,"$123,200",Open,,"-$1,940.00",-1.55%,"$998,800","$123,200.00"
xx74b,04/14/2016,BAC,Long,$14.19,500,"$7,095",$14.11,"$7,055",Open,,-$40.00,-0.56%,"$998,760","$7,055.00"
xx74b,04/14/2016,XLV,Long,$70.03,"1,000","$70,030",$69.18,"$69,180",Open,,-$850.00,-1.21%,"$997,910","$69,180.00"
xx74b,05/06/2016,TVIX,Long,$3.46,"20,000","$69,200",$3.45,"$69,000",Open,,-$200.00,-0.29%,"$997,710","$69,000.00"
xx74b,05/06/2016,PFE,Long,$33.49,"2,000","$66,980",$33.58,"$67,160",Open,,$180.00,0.27%,"$997,890","$67,160.00"
xx74b,05/06/2016,YELP,Long,$26.39,"2,000","$52,780",$26.50,"$53,000",Open,,$220.00,0.42%,"$998,110","$53,000.00"
xx74b,05/06/2016,BAX,Long,$45.08,"1,500","$67,620",$45.07,"$67,605",Open,,-$15.00,-0.02%,"$998,095","$67,605.00"
xx74b,05/06/2016,GDXJ,Long,$37.06,"1,500","$55,590",$37.71,"$56,565",Open,,$975.00,1.75%,"$999,070","$56,565.00"
